step,u_1,u_2
0,0.2,0.2
1,0.2,0.2
2,0.2,0.2
3,0.2,0.2
4,0.2,0.2
5,0.2,0.2
6,0.2,0.2
7,0.2,0.2
8,0.2,0.2
9,0.2,0.2
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,1,-1
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,-0.5,0.5
38,-0.5,0.5
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,-0.2,-0.2
73,-0.2,-0.2
74,-0.2,-0.2
75,-0.2,-0.2
76,-0.2,-0.2
77,-0.2,-0.2
78,-0.2,-0.2
79,-0.2,-0.2
80,-0.2,-0.2
81,-0.2,-0.2
82,0,0
83,0,0
84,1,-1
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,-1,1
101,0,0
102,0.2,0.2
103,0.2,0.2
104,0.2,0.2
105,0.2,0.2
106,0.2,0.2
107,0.2,0.2
108,0.2,0.2
109,0.2,0.2
110,0.2,0.2
111,0.2,0.2
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,-0.2,-0.2
138,-0.2,-0.2
139,-0.2,-0.2
140,-0.2,-0.2
141,-0.2,-0.2
142,-0.2,-0.2
143,-0.2,-0.2
144,-0.2,-0.2
145,-0.2,-0.2
146,-0.2,-0.2
147,0,0
148,0,0
149,1,-1
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,-1,1
166,0,0
167,0.2,0.2
168,0.2,0.2
169,0.2,0.2
170,0.2,0.2
171,0.2,0.2
172,0.2,0.2
173,0.2,0.2
174,0.2,0.2
175,0.2,0.2
176,0.2,0.2
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,-0.2,-0.2
190,-0.2,-0.2
191,-0.2,-0.2
192,-0.2,-0.2
193,-0.2,-0.2
194,-0.2,-0.2
195,-0.2,-0.2
196,-0.2,-0.2
197,-0.2,-0.2
198,-0.2,-0.2
